 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Município e Ano do Óbito
Categoria CID-10: A95   Febre amarela
Período:1996-2018
"330010 Angra dos Reis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;12
"330030 Barra do Piraí";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"330040 Barra Mansa";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"330080 Cachoeiras de Macacu";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"330110 Cantagalo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;4
"330120 Carmo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"330160 Duas Barras";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"330240 Macaé";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"330260 Mangaratiba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"330270 Maricá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"330290 Miguel Pereira";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"330310 Natividade";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"330330 Niterói";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"330340 Nova Friburgo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;7;8
"330380 Paraty";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"330385 Paty do Alferes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"330410 Porciúncula";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"330414 Queimados";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"330420 Resende";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"330430 Rio Bonito";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"330440 Rio Claro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"330450 Rio das Flores";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"330455 Rio de Janeiro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"330515 São José do Vale do Rio Preto";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"330560 Silva Jardim";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"330570 Sumidouro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"330580 Teresópolis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;8
"330590 Trajano de Moraes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"330610 Valença";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;7
"330620 Vassouras";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"350160 Americana";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"350170 Américo Brasiliense";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"350390 Arujá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"350410 Atibaia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"350590 Batatais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"350760 Bragança Paulista";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"350790 Brotas";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350800 Buri";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"350850 Caçapava";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"350960 Campo Limpo Paulista";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"351060 Carapicuíba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"351300 Cotia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"351380 Diadema";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"351480 Eldorado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"351500 Embu das Artes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"351510 Embu-Guaçu";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"351640 Franco da Rocha";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"351870 Guarujá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"351880 Guarulhos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;19
"351970 Ibiúna";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"352070 Indiaporã";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"352330 Itariri";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"352350 Itatinga";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"352390 Itu";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"352520 Jarinu";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2
"352590 Jundiaí";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"352610 Juquiá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"352850 Mairiporã";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;8
"352990 Miracatu";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"353060 Mogi das Cruzes";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"353200 Morungaba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"353440 Osasco";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
